table with row headers in column B and column headers in rows 3 through 4,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019",,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
421,"Buena Park city, California","80,530","80,619","80,792","81,553","82,045","82,717","82,621","82,770","82,988","82,619","82,187","81,788"
422,"Pleasanton city, California","70,285","70,280","70,381","71,133","72,098","74,026","77,454","79,265","82,330","82,831","82,357","81,777"
423,"Longview city, Texas","80,455","80,423","80,565","81,024","81,190","81,249","81,253","81,717","81,378","80,980","81,191","81,631"
424,"Westland city, Michigan","84,094","84,150","83,959","83,518","83,334","82,659","82,628","82,321","82,115","81,940","81,752","81,511"
425,"Auburn city, Washington","70,180","70,301","70,560","71,748","73,474","74,924","76,198","77,479","78,725","81,333","81,789","81,464"
426,"Cranston city, Rhode Island","80,387","80,627","80,757","80,881","81,066","81,033","81,248","81,306","81,221","81,022","81,335","81,456"
427,"Somerville city, Massachusetts","75,754","75,701","75,877","76,710","77,620","78,573","78,991","79,715","80,936","81,204","81,357","81,360"
428,"Folsom city, California","72,203","72,147","72,110","72,542","73,042","72,782","74,950","75,935","76,999","77,798","78,842","81,328"
429,"Springdale city, Arkansas","69,797","70,800","71,129","72,453","73,712","75,121","76,238","77,524","78,737","79,819","80,907","81,125"
430,"Deerfield Beach city, Florida","75,018","75,008","75,178","76,504","77,395","78,002","78,565","79,334","79,972","80,525","80,666","81,066"
431,"Warwick city, Rhode Island","82,672","82,689","82,643","82,049","81,700","81,548","81,710","81,142","81,027","80,820","80,966","81,004"
432,"Cicero town, Illinois","83,891","84,241","84,267","84,438","84,569","84,601","84,397","83,884","83,219","82,399","81,477","80,796"
433,"Farmington Hills city, Michigan","79,740","79,725","79,761","80,345","80,922","81,490","81,744","81,536","81,560","81,426","80,939","80,612"
434,"Brooklyn Park city, Minnesota","75,781","75,776","75,963","76,883","77,905","78,471","78,816","79,256","79,871","80,322","80,524","80,389"
435,"Lawrence city, Massachusetts","76,377","76,343","76,551","77,260","77,910","78,382","79,182","79,699","79,818","80,003","80,112","80,028"
436,"Plymouth city, Minnesota","70,576","70,591","70,715","71,703","73,104","74,096","75,176","76,034","77,341","78,128","79,345","79,768"
437,"Buckeye city, Arizona","50,876","50,851","51,350","52,486","54,389","56,603","59,100","61,633","64,641","68,534","74,339","79,620"
438,"Georgetown city, Texas","47,400","47,483","48,012","50,310","52,483","54,831","58,974","63,533","67,028","70,640","74,275","79,604"
439,"Cedar Park city, Texas","48,937","55,117","55,777","58,840","61,496","64,800","67,161","69,556","72,545","75,559","76,903","79,462"
440,"Tustin city, California","75,540","75,317","75,472","76,227","77,575","78,122","80,138","80,088","80,245","80,121","79,578","79,348"
441,"Lakewood city, California","80,048","80,086","80,079","80,413","80,672","80,883","80,927","80,951","80,895","80,510","79,907","79,307"
442,"Perris city, California","68,386","68,564","69,000","70,426","71,229","72,295","73,485","74,613","76,046","77,563","78,903","79,291"
443,"Flower Mound town, Texas","64,669","64,675","64,864","65,982","67,764","68,375","69,525","70,985","73,533","76,700","77,562","79,135"
444,"Pharr city, Texas","70,400","70,457","70,778","72,142","73,327","74,165","75,348","76,369","77,363","78,649","78,925","79,112"
445,"Loveland city, Colorado","66,859","66,992","67,157","69,321","70,384","71,337","72,514","74,886","76,399","76,880","77,752","78,877"
446,"Boynton Beach city, Florida","68,217","68,293","68,411","68,905","70,049","71,305","73,155","74,005","75,877","77,711","77,949","78,679"
447,"New Rochelle city, New York","77,062","77,115","77,233","77,701","78,328","79,265","79,342","79,419","79,455","79,084","78,822","78,557"
448,"Temple city, Texas","66,102","66,082","66,614","67,124","68,756","69,544","70,199","71,786","73,003","74,377","76,165","78,439"
449,"Lake Charles city, Louisiana","71,993","72,398","72,531","72,873","73,665","73,886","74,513","75,685","76,462","77,586","78,266","78,396"
450,"Jonesboro city, Arkansas","67,263","67,295","67,548","68,998","70,440","71,604","72,303","73,763","74,797","75,938","77,234","78,394"
451,"Napa city, California","76,915","77,088","77,185","77,679","78,168","78,728","79,384","79,636","79,616","79,083","78,946","78,130"
452,"Parma city, Ohio","81,601","81,589","81,456","80,961","80,623","80,453","80,166","80,037","79,627","79,103","78,622","78,103"
453,"Layton city, Utah","67,311","67,529","67,813","68,479","68,899","70,978","72,360","73,929","75,482","76,447","77,181","78,014"
454,"Alameda city, California","73,812","73,812","73,946","74,692","75,637","76,479","77,509","78,459","79,091","79,037","78,344","77,624"
455,"Warner Robins city, Georgia","66,588","69,596","70,047","71,523","72,522","73,253","73,859","73,991","74,950","75,394","76,365","77,617"
456,"Rapid City city, South Dakota","67,956","68,994","69,154","69,587","70,739","71,730","72,995","73,370","74,116","75,237","76,170","77,503"
457,"Bloomington city, Illinois","76,610","76,724","76,848","77,308","78,020","79,269","78,901","78,414","78,343","78,134","77,804","77,330"
458,"Gastonia city, North Carolina","71,741","71,720","71,707","71,871","72,503","72,789","73,183","74,009","74,963","76,307","76,885","77,273"
459,"Baytown city, Texas","71,802","71,605","71,757","72,500","73,311","75,334","75,926","76,286","76,369","76,693","76,592","77,192"
460,"Upland city, California","73,732","73,718","73,884","74,465","74,933","75,188","75,542","75,970","76,374","76,778","76,833","77,140"
461,"Racine city, Wisconsin","78,860","78,556","78,460","78,170","77,904","77,782","77,607","77,290","77,155","77,188","77,075","76,760"
462,"Scranton city, Pennsylvania","76,089","76,083","76,079","75,926","76,024","75,831","75,443","77,149","77,235","77,214","77,017","76,653"
463,"South Jordan city, Utah","50,418","50,473","51,301","53,309","55,842","59,142","62,446","66,034","68,545","70,929","73,837","76,598"
464,"Bellflower city, California","76,616","76,625","76,624","76,939","77,202","77,404","77,532","77,794","77,581","77,326","76,906","76,435"
465,"Kalamazoo city, Michigan","74,262","74,263","74,334","74,697","75,545","75,792","76,099","75,820","75,826","75,803","76,483","76,200"
466,"San Ramon city, California","72,148","71,412","71,585","72,174","72,850","73,560","74,329","75,138","75,703","75,795","75,851","75,995"
467,"Bethlehem city, Pennsylvania","74,982","74,972","74,979","75,061","75,040","74,852","74,966","74,966","75,273","75,546","75,742","75,815"
468,"Wyoming city, Michigan","72,125","72,117","72,131","72,729","73,509","74,307","74,986","75,298","75,685","76,056","75,839","75,667"
469,"Hammond city, Indiana","80,830","80,825","80,718","80,220","79,648","79,009","78,586","77,688","77,151","76,489","75,877","75,522"
470,"Missoula city, Montana","66,788","67,358","67,466","68,078","68,877","69,487","70,227","71,292","72,779","74,077","74,882","75,516"
471,"Missouri City city, Texas","67,358","66,534","66,905","67,441","68,107","69,314","71,076","73,611","74,359","74,617","74,834","75,457"
472,"Pasco city, Washington","59,781","62,163","62,928","65,539","67,673","68,398","69,500","70,330","71,514","72,810","74,485","75,432"
473,"Baldwin Park city, California","75,390","75,397","75,421","75,750","76,183","76,364","76,375","76,427","76,219","75,948","75,572","75,251"
474,"Iowa City city, Iowa","67,862","67,961","68,050","69,201","70,182","71,454","72,831","73,497","74,587","75,690","75,696","75,130"
475,"Rancho Cordova city, California","64,776","64,804","65,067","65,970","66,725","67,722","69,389","70,640","72,162","73,398","74,478","75,087"
476,"Rock Hill city, South Carolina","66,154","66,878","66,879","67,593","68,131","68,788","69,690","71,183","72,460","73,414","74,458","75,048"
477,"Flagstaff city, Arizona","65,870","66,006","66,088","66,071","67,913","68,090","68,609","69,966","71,149","72,037","73,762","75,038"
478,"Gary city, Indiana","80,294","80,256","80,155","79,645","79,128","78,518","77,985","77,128","76,450","75,775","75,210","74,879"
479,"St. Joseph city, Missouri","76,780","76,783","76,659","77,202","77,332","77,221","76,994","76,496","76,443","76,076","75,604","74,875"
480,"Arlington Heights village, Illinois","75,101","75,185","75,252","75,528","75,918","76,116","76,145","75,987","75,795","75,473","75,116","74,760"
481,"Bolingbrook village, Illinois","73,366","73,365","73,475","73,789","73,949","73,909","74,032","74,142","74,383","75,003","75,043","74,545"
482,"Rochester Hills city, Michigan","70,995","70,987","71,038","71,694","72,455","73,116","73,363","73,627","73,849","74,517","74,544","74,516"
483,"Framingham city, Massachusetts",(X),"68,323","68,665","69,656","70,061","70,411","70,786","70,938","71,459","71,784","72,909","74,416"
484,"Union City city, California","69,516","69,531","69,630","70,597","71,642","72,552","73,481","74,343","75,465","75,227","74,560","74,107"
485,"Appleton city, Wisconsin","72,623","72,675","72,704","72,921","73,128","73,591","74,001","74,151","74,392","74,524","74,378","74,098"
486,"Turlock city, California","68,549","68,712","68,848","69,251","69,719","70,261","70,868","71,776","72,578","73,241","73,396","73,631"
487,"Camden city, New Jersey","77,344","76,866","76,805","77,049","76,711","76,283","75,673","75,204","73,818","73,728","73,725","73,562"
488,"Bismarck city, North Dakota","61,272","61,324","61,589","62,768","64,772","67,127","69,011","71,413","72,580","73,141","73,229","73,529"
489,"Evanston city, Illinois","74,486","74,483","74,585","75,142","75,723","75,984","75,994","75,619","75,243","74,617","73,990","73,473"
490,"Apple Valley town, California","69,135","69,146","69,307","70,025","70,381","70,706","71,141","71,747","72,262","72,871","73,349","73,453"
491,"Schaumburg village, Illinois","74,227","74,233","74,294","74,551","74,775","74,911","74,903","74,651","74,592","74,039","73,388","72,887"
492,"Woodbury city, Minnesota","61,961","61,963","62,250","63,559","64,472","65,523","66,625","67,445","68,495","69,520","71,231","72,828"
493,"Kissimmee city, Florida","59,682","59,558","59,694","61,323","63,422","64,921","66,509","68,633","69,407","71,446","73,751","72,717"
494,"Southfield city, Michigan","71,739","71,715","71,760","72,248","72,711","73,226","73,439","73,389","73,465","73,386","72,976","72,689"
495,"Maple Grove city, Minnesota","61,567","61,548","61,778","63,196","64,504","65,442","66,966","68,405","69,678","70,812","71,711","72,622"
496,"Pittsburg city, California","63,264","63,259","63,522","64,546","65,523","66,646","67,974","69,260","70,798","72,000","72,450","72,588"
497,"New Britain city, Connecticut","73,206","73,203","73,251","73,274","73,221","73,050","73,048","73,213","72,816","72,626","72,591","72,495"
498,"Jacksonville city, North Carolina","70,145","70,327","78,089","75,194","76,365","75,681","74,217","74,306","72,745","72,800","72,775","72,436"
499,"Mansfield city, Texas","56,368","56,654","57,088","58,331","59,682","61,228","62,605","64,705","66,253","68,841","70,796","72,419"
500,"Waukesha city, Wisconsin","70,718","71,223","71,215","71,224","71,717","71,775","72,009","72,375","72,405","72,516","72,453","72,299"
501,"Frederick city, Maryland","65,239","65,289","65,455","65,954","66,402","66,827","68,275","69,372","69,881","70,947","71,945","72,244"
502,"Albany city, Georgia","77,434","77,436","77,420","77,893","77,537","76,416","75,940","74,891","73,957","73,252","73,219","72,130"
503,"Pawtucket city, Rhode Island","71,148","71,153","71,267","71,406","71,582","71,623","71,693","71,755","71,775","71,600","71,973","72,117"
504,"Redmond city, Washington","54,144","54,511","54,731","55,674","56,741","57,606","59,416","60,770","62,794","64,872","67,436","71,929"
505,"Lauderhill city, Florida","66,887","66,936","67,084","68,246","69,012","69,531","70,110","70,901","71,474","71,915","71,924","71,868"
506,"Lafayette city, Indiana","67,140","68,864","68,925","69,916","70,163","70,976","71,012","71,143","71,960","72,110","72,233","71,721"
507,"Gulfport city, Mississippi","67,793","67,785","67,904","68,865","69,782","70,801","71,173","71,346","71,518","71,945","71,771","71,705"
508,"Redlands city, California","68,747","68,679","68,807","69,320","69,637","69,800","70,209","70,625","71,027","71,342","71,416","71,513"
509,"Weston city, Florida","65,333","65,419","65,591","66,840","67,702","68,333","68,926","69,687","70,324","70,901","71,030","71,166"
510,"St. Charles city, Missouri","65,794","66,218","66,396","66,633","66,986","68,151","68,568","69,120","69,402","70,390","70,807","71,028"
511,"Decatur city, Illinois","76,122","76,131","76,105","75,922","75,449","74,955","74,155","73,265","72,510","71,790","71,136","70,746"
512,"North Port city, Florida","57,357","57,320","57,389","57,726","58,416","59,113","60,323","62,244","64,371","66,272","68,438","70,724"
513,"North Richland Hills city, Texas","63,343","63,341","63,479","64,256","65,254","67,239","68,424","69,145","69,973","70,516","70,686","70,670"
514,"Greenville city, South Carolina","58,409","59,280","59,414","59,810","60,171","60,625","61,505","63,606","67,134","68,474","68,849","70,635"
515,"Bowling Green city, Kentucky","58,067","59,407","59,727","60,357","61,294","62,698","63,528","64,940","66,087","67,866","68,633","70,543"
516,"Broomfield city, Colorado","55,889","55,861","56,226","57,493","58,971","60,149","61,764","64,866","66,513","68,263","69,324","70,465"
517,"Canton city, Ohio","73,007","73,403","73,427","73,181","73,147","72,915","72,634","72,173","71,629","71,156","70,752","70,447"
518,"Marysville city, Washington","60,020","60,013","60,193","61,243","62,297","63,135","64,919","66,558","67,586","68,897","69,606","70,298"
519,"Walnut Creek city, California","64,173","64,157","64,314","64,827","65,529","66,812","67,500","68,747","69,235","69,645","69,843","70,166"
519,"Wilmington city, Delaware","70,851","70,875","70,764","70,868","71,045","71,201","71,201","71,131","70,919","70,658","70,457","70,166"
521,"Camarillo city, California","65,201","65,156","65,257","65,515","65,656","65,882","66,517","67,171","67,141","67,403","68,883","69,888"
522,"Lynwood city, California","69,772","69,763","69,595","69,661","70,576","71,146","71,193","71,397","70,979","70,685","70,285","69,887"
523,"Lehi city, Utah","47,407","47,769","48,170","49,677","51,385","55,089","57,000","59,034","61,690","63,674","65,958","69,724"
524,"Passaic city, New Jersey","69,781","69,811","69,861","70,144","69,966","70,081","70,240","70,237","70,130","70,123","69,932","69,703"
525,"Homestead city, Florida","60,512","60,748","61,034","62,214","63,148","64,246","65,290","66,192","68,045","69,124","69,254","69,523"
526,"Delray Beach city, Florida","60,522","60,611","60,801","61,495","62,267","64,177","65,004","66,203","67,546","68,708","69,176","69,451"
527,"Davis city, California","65,622","65,639","65,584","65,657","65,781","66,213","66,545","67,367","68,028","68,802","69,220","69,413"
528,"Lake Elsinore city, California","51,821","53,313","53,627","55,078","56,044","57,711","60,111","61,955","63,807","66,066","68,051","69,283"
529,"Daytona Beach city, Florida","61,005","61,591","61,626","61,720","62,199","62,957","63,560","64,962","67,076","68,096","68,709","69,186"
530,"Dothan city, Alabama","65,496","65,922","66,097","66,619","67,212","67,666","68,122","68,295","68,287","68,293","68,337","68,941"
531,"Rocklin city, California","56,974","57,131","57,474","58,426","58,962","59,613","60,060","60,908","62,605","64,654","67,065","68,823"
532,"Eau Claire city, Wisconsin","65,883","66,230","66,298","66,841","67,342","67,892","67,747","67,740","68,254","68,547","68,770","68,802"
533,"Rogers city, Arkansas","55,964","56,109","56,361","58,226","59,666","60,663","62,086","63,584","65,236","66,605","67,635","68,669"
534,"Castle Rock town, Colorado","48,231","48,251","48,586","49,693","51,017","52,657","55,154","57,175","59,284","62,297","65,000","68,484"
535,"St. Cloud city, Minnesota","65,842","65,905","65,919","65,873","65,930","66,085","66,536","67,352","67,832","68,103","68,181","68,462"
536,"Bossier City city, Louisiana","61,315","61,768","62,120","63,540","65,414","66,191","67,078","68,157","68,125","68,471","68,316","68,159"
537,"Rockville city, Maryland","61,209","61,242","61,484","62,055","63,286","63,825","65,445","66,733","66,923","67,830","68,028","68,079"
538,"Muncie city, Indiana","70,085","70,206","70,193","70,406","69,757","69,710","69,606","69,121","69,148","68,854","68,115","67,999"
539,"Gaithersburg city, Maryland","59,933","59,899","60,185","61,440","63,037","65,673","66,518","67,081","67,587","67,987","68,070","67,985"
540,"Union City city, New Jersey","66,455","66,467","66,459","67,446","67,844","68,232","68,302","68,119","68,365","68,485","68,124","67,982"
541,"West Des Moines city, Iowa","56,609","56,707","56,864","57,562","58,154","59,733","61,827","63,489","64,595","65,556","66,605","67,899"
542,"South San Francisco city, California","63,632","63,622","63,701","64,448","65,581","66,237","66,813","67,221","67,220","67,180","67,617","67,789"
543,"Yorba Linda city, California","64,234","64,167","64,390","65,610","66,282","66,803","67,359","67,527","68,033","67,895","67,589","67,644"
544,"Conway city, Arkansas","58,908","58,874","59,592","61,630","62,818","63,359","64,403","64,769","65,232","65,958","67,032","67,638"
545,"Lodi city, California","62,134","62,121","62,253","62,741","63,048","63,128","63,620","64,264","64,578","65,715","67,003","67,586"
546,"Palatine village, Illinois","68,557","68,551","68,611","68,886","69,170","69,378","69,427","69,302","68,953","68,506","67,942","67,482"
547,"Ankeny city, Iowa","45,582","45,608","45,845","47,043","48,363","50,785","53,299","56,109","58,609","62,365","65,248","67,355"
548,"Mount Vernon city, New York","67,292","67,316","67,399","67,751","67,844","68,133","68,213","68,281","68,245","67,966","67,655","67,345"
549,"Rowlett city, Texas","56,199","56,242","56,345","57,011","57,771","58,090","58,471","60,355","62,291","62,992","66,126","67,339"
550,"Waterloo city, Iowa","68,406","68,496","68,492","68,554","68,535","68,700","68,676","68,619","68,108","67,758","67,722","67,328"
551,"Lakeville city, Minnesota","55,954","56,001","56,161","56,711","57,471","58,697","59,976","60,791","61,997","63,677","65,778","67,317"
552,"Alpharetta city, Georgia","57,551","57,383","57,691","59,141","61,577","61,937","62,693","63,337","65,411","65,734","66,257","67,213"
553,"Jackson city, Tennessee","65,211","66,847","66,814","66,726","67,018","67,467","67,112","66,760","66,718","66,748","66,952","67,191"
554,"Yuba City city, California","64,925","65,634","65,631","65,364","65,283","65,538","65,757","66,134","66,218","66,564","66,695","67,010"
555,"Oshkosh city, Wisconsin","66,083","66,346","66,328","66,360","66,862","66,943","66,796","66,684","66,634","66,705","66,802","67,004"
556,"Victoria city, Texas","62,592","62,624","62,675","63,113","64,244","64,964","65,904","67,154","67,346","67,019","66,835","66,916"
557,"Johnson City city, Tennessee","63,152","63,383","63,528","63,951","64,370","64,706","65,106","65,497","66,140","66,164","66,759","66,906"
558,"Redondo Beach city, California","66,748","66,931","66,933","67,192","67,438","67,629","67,673","67,771","67,809","67,511","67,206","66,749"
559,"Tamarac city, Florida","60,427","60,778","60,921","62,019","62,752","63,262","63,731","64,499","65,517","66,148","66,447","66,721"
560,"Laguna Niguel city, California","62,979","62,989","63,119","63,774","64,134","64,381","65,079","65,396","65,145","66,011","66,079","66,385"
561,"Eagan city, Minnesota","64,206","64,150","64,202","64,488","64,878","65,403","65,996","66,212","66,328","66,594","66,472","66,372"
562,"Kenner city, Louisiana","66,702","66,631","66,635","66,814","66,781","66,836","66,776","66,896","67,083","66,933","66,584","66,340"
563,"Auburn city, Alabama","53,380","53,439","53,785","54,950","57,149","58,816","60,372","61,754","62,773","63,927","65,495","66,259"
564,"Ames city, Iowa","58,965","59,035","59,098","60,440","61,427","63,053","64,773","65,685","65,915","66,301","66,001","66,258"
565,"Portland city, Maine","66,194","66,191","66,088","66,183","66,216","66,391","66,832","66,825","66,911","66,646","66,405","66,215"
566,"North Little Rock city, Arkansas","62,304","62,350","62,436","63,482","64,645","65,929","66,656","66,388","66,141","65,855","66,022","65,903"
567,"Sammamish city, Washington","45,780","57,449","57,656","58,726","59,973","61,006","62,174","63,266","63,817","64,929","65,495","65,892"
568,"Madera city, California","61,416","61,513","61,603","61,907","62,382","62,749","63,230","63,690","64,187","64,941","65,440","65,860"
569,"Shawnee city, Kansas","62,209","62,203","62,311","63,011","63,559","64,243","64,449","64,994","65,376","65,556","65,933","65,807"
570,"Jupiter town, Florida","55,156","55,312","55,468","56,214","57,203","58,501","60,772","62,810","64,066","64,888","65,377","65,791"
571,"Doral city, Florida","45,704","45,712","45,953","47,024","47,877","50,052","53,643","55,482","57,704","60,222","60,762","65,741"
572,"Blaine city, Minnesota","57,186","57,179","57,409","58,194","59,438","60,500","61,386","62,360","63,191","64,288","65,082","65,607"
573,"Tulare city, California","59,278","59,293","59,432","59,789","60,625","60,905","61,444","61,915","62,538","63,486","64,274","65,496"
574,"Youngstown city, Ohio","66,982","66,946","66,876","66,556","66,056","65,470","65,142","64,687","64,335","64,540","64,860","65,469"
575,"Wellington village, Florida","56,508","56,697","56,830","57,506","58,593","60,303","61,507","62,605","64,204","64,793","65,058","65,398"
576,"Pflugerville city, Texas","46,936","48,370","48,717","50,273","51,988","53,813","54,714","57,241","59,500","63,260","64,172","65,380"
577,"Palo Alto city, California","64,403","64,387","64,535","65,345","66,089","66,613","66,848","66,782","67,353","66,960","66,258","65,364"
578,"Schenectady city, New York","66,135","66,157","66,151","66,098","66,087","65,829","65,846","65,538","65,076","65,300","65,345","65,273"
579,"Harlingen city, Texas","64,849","64,943","65,102","65,638","65,786","65,674","65,510","65,208","65,229","65,153","64,996","65,022"
580,"Bayonne city, New Jersey","63,024","63,015","63,050","63,945","64,252","64,736","65,369","65,290","65,315","65,333","64,677","64,897"
581,"Eden Prairie city, Minnesota","60,797","60,797","60,899","61,667","62,392","62,673","63,341","63,608","64,001","64,193","64,263","64,893"
582,"Port Orange city, Florida","56,048","56,628","56,627","56,727","56,978","57,508","58,983","60,145","61,454","63,062","64,055","64,842"
583,"Dublin city, California","46,036","46,036","45,903","46,804","48,700","52,027","54,554","57,545","59,579","60,797","63,423","64,826"
584,"San Marcos city, Texas","44,894","45,139","45,267","47,687","50,010","54,403","58,983","60,446","61,726","63,526","63,688","64,776"
585,"Noblesville city, Indiana","51,969","52,374","52,909","54,248","55,542","56,849","57,725","58,741","60,304","61,874","63,303","64,668"
586,"Santa Cruz city, California","59,946","59,944","60,578","61,434","61,954","62,731","63,172","64,082","64,396","64,815","64,643","64,608"
587,"Janesville city, Wisconsin","63,575","63,658","63,623","63,439","63,509","63,675","63,853","63,880","64,023","64,297","64,483","64,575"
588,"San Clemente city, California","63,522","63,500","63,605","64,255","64,612","64,845","64,947","65,142","65,185","64,973","64,699","64,558"
589,"Brentwood city, California","51,481","51,627","51,813","52,716","53,508","54,916","56,854","58,796","60,571","62,265","63,760","64,474"
590,"East Orange city, New Jersey","64,270","64,169","64,150","64,332","64,172","64,221","64,262","64,438","64,426","64,306","64,258","64,367"
591,"Cheyenne city, Wyoming","59,466","59,552","59,778","60,177","61,438","62,122","62,279","62,905","63,451","63,520","63,835","64,235"
592,"Eastvale city, California",(X),"53,712","54,054","54,966","55,627","56,247","57,386","59,231","60,670","62,309","63,815","64,157"
593,"Chapel Hill town, North Carolina","57,233","57,221","57,406","57,370","58,650","58,860","59,120","59,046","59,654","58,918","63,367","64,051"
594,"Haverhill city, Massachusetts","60,879","60,878","60,999","61,505","61,860","62,272","62,605","62,861","63,200","63,664","63,926","64,014"
595,"Lorain city, Ohio","64,097","64,099","64,076","63,940","63,756","63,735","63,773","63,662","63,729","63,774","63,984","63,855"
596,"Grand Junction city, Colorado","58,566","59,034","58,846","59,475","59,660","59,809","59,643","60,389","61,236","61,995","63,131","63,597"
597,"Springfield city, Oregon","59,403","59,413","59,445","59,859","59,974","60,019","60,164","60,436","61,531","62,373","62,806","63,230"
598,"Coon Rapids city, Minnesota","61,476","61,485","61,539","61,561","61,958","62,064","62,163","62,264","62,374","62,479","62,491","62,998"
599,"Idaho Falls city, Idaho","56,813","57,833","57,995","58,518","58,860","59,034","59,320","59,858","60,797","61,768","62,023","62,888"
600,"North Miami city, Florida","58,786","60,134","60,322","60,991","61,553","61,946","61,903","62,040","62,018","61,939","63,481","62,822"
601,"Encinitas city, California","59,518","59,526","59,684","60,264","60,890","61,555","62,023","62,590","62,921","62,884","62,750","62,709"
602,"Skokie village, Illinois","64,784","64,845","64,889","65,087","65,247","65,328","65,223","64,888","64,437","63,847","63,171","62,700"
603,"Leander city, Texas","26,521","27,288","27,709","29,120","30,636","32,774","35,280","39,019","43,788","49,792","55,924","62,608"
604,"Waltham city, Massachusetts","60,632","60,638","60,889","61,382","62,047","62,327","63,114","63,003","62,939","62,822","62,563","62,495"
605,"Council Bluffs city, Iowa","62,230","62,226","62,370","62,502","62,160","62,117","62,397","62,556","62,458","62,377","62,221","62,166"
606,"Hamilton city, Ohio","62,477","62,291","62,345","62,329","62,234","62,299","62,414","62,345","62,250","62,114","62,132","62,082"
607,"Moore city, Oklahoma","55,081","55,082","55,425","56,724","57,830","57,800","58,462","59,593","60,479","60,973","61,452","62,055"
608,"Pico Rivera city, California","62,942","62,958","62,960","63,221","63,430","63,597","63,637","63,670","63,438","63,133","62,677","62,027"
609,"Montebello city, California","62,500","62,488","62,490","62,903","63,123","63,279","63,322","63,379","63,134","62,823","62,440","61,954"
610,"Millcreek city, Utah",(X),"58,750","58,853","59,397","59,853","60,253","60,176","60,147","60,354","60,718","61,060","61,450"
611,"Sanford city, Florida","53,570","53,933","53,971","54,377","54,937","56,283","57,643","58,289","58,968","59,542","60,107","61,448"
612,"National City city, California","58,582","58,560","58,624","59,042","59,369","59,776","60,132","60,721","60,967","61,083","61,272","61,394"
613,"Burnsville city, Minnesota","60,306","60,286","60,391","60,649","60,864","61,144","61,314","61,203","61,316","61,431","61,162","61,339"
614,"Coconut Creek city, Florida","52,909","53,042","53,183","54,324","55,131","56,920","58,502","59,202","59,815","61,070","61,205","61,248"
615,"Lakewood city, Washington","58,163","57,532","57,600","57,945","58,110","58,144","58,580","58,885","59,747","60,316","60,511","61,037"
616,"Taylor city, Michigan","63,131","63,131","62,982","62,631","62,465","61,957","62,068","61,777","61,580","61,404","61,163","60,922"
617,"Novi city, Michigan","55,224","55,232","55,287","56,055","57,043","58,124","58,634","58,913","59,598","59,948","60,787","60,896"
618,"Marietta city, Georgia","56,579","56,486","56,708","57,348","58,167","58,819","59,547","59,845","60,679","60,679","60,647","60,867"
619,"Ocala city, Florida","56,315","56,568","56,565","56,707","56,783","56,804","57,178","57,719","58,460","59,091","60,274","60,786"
620,"Terre Haute city, Indiana","60,785","60,785","60,787","60,993","61,176","60,921","60,785","60,596","60,683","60,816","60,775","60,622"
621,"Woodland city, California","55,468","55,553","55,615","55,786","56,272","56,713","57,328","58,385","59,098","59,923","60,474","60,548"
622,"Petaluma city, California","57,941","57,968","58,037","58,236","58,728","59,337","59,753","60,295","60,468","60,682","61,826","60,520"
623,"La Habra city, California","60,239","59,016","59,108","59,658","59,970","60,224","60,421","60,473","60,292","60,898","60,778","60,513"
624,"Malden city, Massachusetts","59,450","59,536","59,691","60,131","60,591","60,938","61,217","61,383","61,276","61,079","60,735","60,470"
625,"Commerce City city, Colorado","45,913","45,864","46,128","47,507","48,504","49,717","51,468","53,161","54,523","55,925","58,324","60,336"
626,"Owensboro city, Kentucky","57,265","57,482","57,511","57,755","58,139","58,357","58,415","59,031","59,305","59,523","59,745","60,131"
627,"Bristol city, Connecticut","60,477","60,499","60,502","60,599","60,658","60,558","60,588","60,524","60,304","60,131","60,101","59,947"
628,"West Allis city, Wisconsin","60,411","60,401","60,418","60,492","60,695","60,803","60,765","60,709","60,331","59,845","59,410","59,890"
629,"Taylorsville city, Utah","58,652","58,691","58,754","59,761","60,210","60,530","60,361","60,290","60,401","60,057","60,005","59,805"
630,"Utica city, New York","62,235","62,241","62,209","62,036","61,886","61,680","61,289","60,912","60,618","60,374","60,040","59,750"
631,"Monterey Park city, California","60,269","60,225","60,218","60,460","60,645","60,796","60,832","60,908","60,830","60,668","60,198","59,669"
632,"Bonita Springs city, Florida","43,914","43,930","44,075","45,039","46,342","47,664","49,367","51,850","54,400","56,175","57,398","59,637"
633,"Porterville city, California","54,165","58,104","58,197","58,540","58,708","58,891","58,995","59,721","59,699","59,745","59,685","59,599"
634,"Greenwood city, Indiana","49,791","51,116","51,159","52,031","52,800","53,658","54,452","55,272","56,352","57,356","58,701","59,458"
635,"Bartlett city, Tennessee","54,613","56,941","57,030","57,388","58,224","58,231","58,353","58,665","58,887","59,101","59,403","59,440"
636,"Bradenton city, Florida","49,546","49,273","49,310","49,642","50,207","51,175","52,253","53,838","55,048","56,686","57,601","59,439"
636,"Vineland city, New Jersey","60,724","60,734","60,820","60,984","60,921","60,874","60,887","60,583","60,312","59,862","59,856","59,439"
