table with row headers in column B and column headers in rows 3 through 4,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019",,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
116,"Frisco city, Texas","116,989","117,174","118,201","123,515","128,445","136,794","144,965","154,390","164,176","177,730","188,452","200,490"
117,"Yonkers city, New York","195,976","196,026","196,407","197,584","198,057","198,769","199,367","199,667","200,077","199,873","199,883","200,370"
118,"Amarillo city, Texas","190,695","190,666","191,249","193,763","195,404","196,248","197,200","197,816","198,694","199,722","199,183","199,371"
119,"Glendale city, California","191,719","191,692","191,720","192,656","193,859","195,318","198,232","199,197","200,118","201,804","200,688","199,303"
120,"Huntington Beach city, California","189,992","191,038","191,296","192,995","194,174","197,107","199,610","200,653","200,284","200,938","200,126","199,223"
121,"McKinney city, Texas","131,117","131,152","132,934","137,928","143,510","149,207","157,143","163,612","173,577","182,104","191,748","199,177"
122,"Montgomery city, Alabama","205,764","205,501","205,593","205,198","203,946","202,439","201,435","201,018","200,441","200,047","198,899","198,525"
123,"Augusta-Richmond County consolidated government (balance), Georgia","195,844","195,859","196,375","195,847","196,989","196,602","196,579","196,763","197,276","197,018","197,025","197,888"
124,"Aurora city, Illinois","197,899","197,975","198,207","199,150","199,648","199,803","200,189","200,315","200,799","200,391","199,199","197,757"
125,"Akron city, Ohio","199,110","199,209","199,081","199,112","198,969","198,972","199,008","198,588","198,068","198,085","197,884","197,597"
126,"Little Rock city, Arkansas","193,524","193,538","193,972","195,292","196,564","197,143","197,595","198,178","198,631","198,314","197,484","197,312"
127,"Tempe city, Arizona","161,719","161,774","162,323","164,477","168,549","170,740","175,636","179,114","184,877","185,792","191,746","195,805"
128,"Columbus city, Georgia","189,885","190,570","191,101","195,271","198,965","203,225","200,563","198,702","196,219","193,836","194,169","195,769"
129,"Overland Park city, Kansas","173,372","173,329","174,040","176,034","178,683","180,932","183,980","186,222","189,302","191,327","192,724","195,494"
130,"Grand Prairie city, Texas","175,396","175,468","175,974","178,903","182,030","183,891","185,824","188,411","192,095","193,973","193,989","194,543"
131,"Tallahassee city, Florida","181,376","181,050","181,438","182,997","186,298","185,602","187,094","188,645","188,870","191,655","192,763","194,500"
132,"Cape Coral city, Florida","154,305","154,309","154,731","157,330","160,558","164,336","168,365","173,572","178,534","183,701","189,468","194,495"
133,"Mobile city, Alabama","195,111","194,659","194,577","193,801","193,761","193,288","192,582","191,975","191,472","190,190","189,809","188,720"
134,"Knoxville city, Tennessee","178,874","178,134","178,258","179,955","181,093","181,779","182,631","184,046","184,986","186,905","187,362","187,603"
135,"Shreveport city, Louisiana","199,311","200,976","201,437","202,327","202,347","200,469","198,259","197,001","194,672","192,023","189,360","187,112"
136,"Worcester city, Massachusetts","181,045","180,891","181,759","182,387","182,575","183,327","184,559","184,627","184,859","185,325","185,555","185,428"
137,"Ontario city, California","163,924","163,936","164,377","165,756","166,630","167,096","168,097","170,210","172,561","175,334","180,718","185,010"
138,"Vancouver city, Washington","161,791","167,159","167,595","169,046","170,035","171,565","173,406","176,409","178,621","180,360","182,887","184,463"
139,"Sioux Falls city, South Dakota","153,888","153,978","154,533","156,471","159,847","163,478","167,050","170,183","173,503","177,636","180,398","183,793"
140,"Chattanooga city, Tennessee","167,674","170,322","170,574","172,341","173,972","175,325","175,321","176,400","177,746","179,530","181,918","182,799"
141,"Brownsville city, Texas","175,023","174,729","175,362","178,154","179,652","180,648","181,656","181,528","182,311","182,384","182,333","182,781"
142,"Fort Lauderdale city, Florida","165,521","165,754","166,126","169,012","170,909","172,275","175,153","177,356","178,837","179,877","182,101","182,437"
143,"Providence city, Rhode Island","178,042","177,770","178,029","178,332","178,813","178,692","179,119","179,252","179,548","179,252","179,520","179,883"
144,"Newport News city, Virginia","180,719","180,955","180,888","180,078","180,056","181,275","181,522","180,958","180,209","179,447","178,523","179,225"
145,"Rancho Cucamonga city, California","165,269","165,380","166,226","167,928","169,959","170,815","173,220","174,203","175,782","176,921","177,345","177,603"
146,"Santa Rosa city, California","167,815","175,038","175,238","176,243","177,093","178,684","180,585","181,485","181,909","181,596","176,750","176,753"
147,"Peoria city, Arizona","154,065","154,048","154,846","155,014","155,326","156,354","157,770","160,431","164,212","168,192","172,263","175,961"
148,"Oceanside city, California","167,086","167,547","168,079","170,008","171,590","173,175","174,318","175,189","175,451","175,884","175,758","175,742"
149,"Elk Grove city, California","153,015","152,995","153,375","155,615","158,083","160,251","162,701","165,997","169,156","171,425","172,603","174,775"
